name,code,saqa_id,dep,aps,faculty,nqf,credits,desc,comments,school,url
Diploma in Ornamental Horticulture (98025 - HOR),98025,83107,,18,,6,360,"Purpose statement:The primary purpose of the qualification is to develop competent horticulturists enabling them to apply ornamental horticultural technologies and strategies in the green industry in a way that will be environmentally sustainable. They will be able to propagate care for and utilise plants, plan, implement and maintain urban landscapes, be able to apply basic managerial skills. The qualification aims to contribute to the green industry by developing horticultural professionals and managers and so enhance the effectiveness and the competitiveness of the industry. It also aims to support the discipline of Horticulture by providing the academic foundation for possible future research in the field. The qualification strives to promote environmental awareness and a commitment to environmental sustainability, as well as the recognition that plants, with their various functional and aesthetic uses, have the ability to improve quality of life. It further aims to advance social and economic transformation by providing accessible opportunities for individual, career and entrepreneurial development to people from all social and cultural groups.","
Rules:
Practical work and work integrated learning form an integral part of this qualification.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Ornamental-Horticulture-(98025-–-HOR)
Diploma in Policing (98220),98220,101102,,18,,6,360,"Purpose statement:The qualifying learner will be able to apply composite policing, legal and management principles in the field of safety and security in an integrated fashion to secure safety in society.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
PLEASE NOTE: Exemption for the subjects that were passed more than ten years ago in pursuance of a
qualification that has not been completed yet is not granted automatically. A curriculum vitae
setting out to what extent the applicant has remained in touch with policing should accompany the
Recognition of Prior Learning (RPL) application for such exemptions.
 
Some of the pre-requisites and/or co-requisites outlined in this qualification may not apply as they
do not form part of the curriculum.
 
Students who have passed phased out modules will retain the credit and do not need to pass the
replacement modules. However, phased out modules must have been passed for this specific
qualification and it does not necessarily mean the modules are equivalent.
 
ENN103F Students do not need to register for ENG1503.
EPP1501 Students do not need to register for ENG1503.
EPP1502 Students do not need to register for INS1502.
EUP1501 Students do not need to register for ILW1501.
CRW1501 Students do not need to register for HFL1501.
CMP2601 Students do not need to register for FUR2601.
MND2601 Students do not need to register for MNG2601.
EVI3701 Students do not need to register for LEV3701.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Policing-(98220)
Diploma in Public Administration and Management (98203),98203,83467,,17,,6,360,"Purpose statement:The primary purpose of the qualification is for learners to demonstrate vocational knowledge, skills, applied competence and the necessary attitudes in the field of public administration and management to become lifelong learners, employable workers and contributors to public administration in various institutions. A second purpose of the qualification is for learners in public administration to widen the vocational leadership and managerial base of innovative and practice-based public administration and management. 

Qualifying learners could follow a variety of careers within the Public Sector: 
- Financial Services. 
- Administration. 
- Management. 
- Human Resources Management. 
- Knowledge Management. 

","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Public-Administration-and-Management-(98203)
Diploma in Safety Management (90107),90107,105733,,17,,6,360,"Purpose statement:The purpose of this qualification is to prepare learners for management positions within the field of safety management. On completion, learners will be able to demonstrate vocational knowledge, skills and applied competence and the necessary attitudes in the field of safety management to become lifelong learners, employable workers and contributors to safety management in various institutions. The qualification is intended for persons who can function on an operational and tactical (functional) level.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Safety-Management-(90107)
Diploma in Security Management (98221),98221,101103,,18,,6,360,Purpose statement:This qualification is designed for Security Managers. The qualified Security Manager (learner) will have the competence to demonstrate his/her ability to manage the security function cost-effectively within an organisation at managerial level.,"
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
 
Students who have passed phased out modules will retain the credit and do not need to pass the
replacement modules. However, phased out modules must have been passed for this specific
qualification and it does not necessarily mean the modules are equivalent.
 
ENN1504 Students do not need to register for ENG1503.
ENN103F Students do not need to register for ENG1503.
EUP1501 Students do not need to register for CMY1501.
MND2601 Students do not need to register for MNG2601.
MND2602 Students do not need to register for MNG2602.
SEP2604 Students do not need to register for SEP3714.
MND3701 Students do not need to register for MNG3701.
MND3702 Students do not need to register for MNG3702.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Security-Management-(98221)
Diploma in Small Business Management (90073),90073,96443,,17,,6,360,"Purpose statement:This qualification will enable the qualifying learner to apply the necessary entrepreneurial and business skills and processes in order to start, establish and grow a business. The qualification is specifically designed for new and established small business owners and managers who wish to enhance their management knowledge with the latest thinking in small business management. The qualification equips entrepreneurs with essential business skills and to exploit the unique set of skills, knowledge and ideas to sell products and services.","
Rules:
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Small-Business-Management-(90073)
Diploma in Tourism Management (98223),98223,86247,,17,,6,360,"Purpose statement:The purpose of the Diploma: Tourism Management is to equip learners with generic business management expertise and appropriate practical skills within the context of the tourism industry. 

Qualifying learners will have a broad insight into tourism and a fundamental understanding of tourism management principles and theories. Those who achieve this qualification will be competent in consistently using a variety of technical, managerial and personal skills and strategies in the everyday running of a tourism enterprise. The successful learners will have developed a sound base for progression into management and industry leadership positions, and exploiting entrepreneurial opportunities. 

Lastly, the qualification is designed to allow qualifying learners to enter the tourism industry in a variety of both private and public sector tourism organisations, including, among others, hospitality, transport and support services. Furthermore, those who achieve this qualification will be able to manage tourism businesses, apply specialised industry knowledge and demonstrate initiative and responsibility in a professional or academic tourism management context. 
","
Rules:
The College has replaced ENN103F with ENG1503, replaced FAC1601 with FAC1602, replaced DTM1502 with
SUS1501, replaced DTM2602 with TRT2601, replaced DTM3702 with TRT3702, replaced MNM2601 with
MNM1601, replaced MNM3701 with MNM3709 and replaced DTM3606 + DTM3607 with DTM3609. The name of
module DTM3701 has changed from MICE Operations to Business Tourism. Students who have already
passed ENN103F, FAC1601, DTM1502, DTM2602, MNM2601, MNM3701, DTM3606 + DTM3607, DTM3701 and/or
DTM3702 in this qualification, will retain the credit(-s) and will not be required to complete the
relevant replacement module(-s). However, please note that DTM3606 and DTM3607 are replaced by one
module and students will need both these credits to be exempt from DTM3609. Students should note
that during the course of their studies they would be required to have access to a computer, printer
and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Diploma-in-Tourism-Management-(98223)
Advanced Diploma in Animal Health (90112),90112,105730,,60,,7,120,This qualification will be presented using both online and distance learning modes.,"Purpose statement:The primary purpose of the qualification is to provide students with a strong industry- oriented focus. The qualification also serves to provide students with the advanced knowledge, cognitive and conceptual tools and practical techniques for higher education in Animal Health. It may provide intellectual enrichment, enhance flexibility in the light of changing circumstances in the field of Animal Health, enable a change in career path or offer an intensive, focused and applied specialisation which meets the requirements in the labour market of the animal health industry. The graduates of the Advanced Diploma in Animal Health will have a deep and systematic understanding of current thinking, practice, theory and methodology in an area of specialisation. It is therefore particularly suitable for continuing professional development.",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Advanced-Diploma-in-Animal-Health-(90112)
Advanced Diploma in Explosives Management (90124),90124,112563,,50,,7,120,"Purpose statement:The Advanced Diploma in Explosives Management is designed to integrate the technical know-how of explosives with managerial skills on a tactical level. The qualification ensures that learners will comply with and manage all regulatory competence requirements set by Occupational Health and Safety and Explosives legislation. Thus the learners will apply for certification as explosives managers or responsible persons. The qualifying learners will have the competence to apply explosives technologies, sound safety, health and environmental principles as well as management skills. These skills are appropriate for the cost-effective management of products and processes in an explosives related environment. 
","
Rules:
It is recommended that students choose their explosives management modules as follows:
Semester 1: EXC3701, EXC3702 Semester 2: EXP3704, EXP3705, TMA3702, TMA3703
 
Students should note that during the course of their studies they would be required to have access
to a computer, printer and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Advanced-Diploma-in-Explosives-Management-(90124)
Advanced Diploma in Safety Management (90181),90181,118634,,50,,7,120,"Purpose statement:The primary purpose of this qualification is to provide a formal qualification for individuals who are interested in pursuing a specialized career in safety management and related aspects by connecting knowledge and skills related to advanced risk and incident management. The curriculum integrates knowledge and practical application by utilizing simulated work environment examples. This ensures that students are able to apply the concepts of toxicology, manufacturing and process safety and advanced safety auditing at a practical level in preparation for possible postgraduate study in the field of safety management. Students will be knowledgeable in the main theories relating to construction and mining safety, emergency planning and safety systems to ensure that they can apply this knowledge in an ethical manner that takes human behaviour into account. This advanced diploma also integrates the principles of entrepreneurship and intrapreneurship as an approach to safety project management. The curriculum is designed to provide entry-level vocational preparation for Bachelor's Degree graduates or diplomates by offering an intensive, focused and applied specialization that meets the requirements of professional bodies and industry in the safety management field.","
Rules:
Students should note that during the course of their studies they would be required to have access
 to a computer, printer and the internet.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Advanced-Diploma-in-Safety-Management-(90181)
Advanced Diploma in Security Management (98235),98235,90624,,50,,7,120,"Purpose statement:The qualification will provide a career-focused opportunity to all learners across the board and will uphold the spirit of learner centeredness. It will contribute to good and responsible security service providers who will be able to cater for the needs of quality security service to communities, private and public organisations. The qualification will provide for lifelong learning and flexibility. This qualification is aimed at learners who wish to pursue careers as security supervisors and security managers and who seek recognition for essential skills needed at the level of middle management. A qualifying learner will be able to demonstrate the knowledge and skills required of competent security managers in the private and public security industry. The emphasis, besides additional advanced specialised knowledge and information, will be on the practical application of already acquired knowledge. This qualification will also assist in promoting good governance, professionalism and expertise within this sector of the South African economy.","
Rules:
Students with the following qualifications: Diploma in Policing, Police Administration or
Corrections Management, can access the Advanced Diploma in Security Management by means
of RPL (rpl@unisa.ac.za).
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Advanced-Diploma-in-Security-Management-(98235)
Advanced Diploma in Tourism Management (90118),90118,110422,,50,,7,120,"Purpose statement:The primary purpose of this qualification is to enable working tourism professionals to articulate across the higher education system and to assist learners with continued professional development in the field of Tourism. This qualification may enable a learner change in career path as it caters for a variety of module options to choose from according to their specific needs and circumstances. The selection of modules allows a learner to meet the requirements of the tourism labour market, e.g. in tourism development and management. This qualification aims to develop an understanding of the current theories and methodologies in the field of tourism management. 

This qualification serves to consolidate and deepen the learner's expertise in tourism. The qualification enables learners already employed to develop themselves more fully without too many interruptions in their lifestyles. Furthermore, it affords learners in rural areas the opportunity to continue their professional development. 

The qualification is suitable for learners who want to gain specialised knowledge in tourism and a better understanding of the tourism industry. This initiative will not only help in improving the local tourism industry, but also the country's economy. The learners will be equipped with advanced knowledge and various skills and competencies in tourism management that will improve their capacity to engage independently with complex theoretical concepts and problems related to the different sectors","
Rules:
The College has replaced MNM3715 with MNM3701. Students who have already passed MNM3715 in this
curriculum will retain credit and will not be required to complete MNM3701. Students should note
that during the course of their studies they would be required to have access to a computer, printer
and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Advanced-Diploma-in-Tourism-Management-(90118)
Bachelor of Accounting Sciences in Financial Accounting (Revised Curriculum 2020) (98302 - FA1),(Revised Curriculum 2020),360,,101110,,98302 - FA1,7,"
Rules:
Students who wish to proceed to the College's PG Dip (Applied Accounting Sciences) (CTA level 2)
should be aware of the requirement that all 6 final year modules must have been passed in one
academic year and the qualification should not be older than three years in order to be admitted to
the postgraduate programme. In addition, a student must obtain an average of 55% mark on the third
level year modules to qualify to register for the CTA 2 (PG Dip in Applied Accountancy). If the 55%
average mark is not met, Unisa students are advised to register for CTA 1 (Postgraduate Diploma in
Accountancy) and not Advance Diploma in Accountancy.
 
Where students have already passed and obtained credits for either FAC3761 or FAC3762 by 2022, the
students must register for FAC3764 in 2023 and need not register for CAS3701 and AIN3701. However,
we recommend that those students who intend to progress to the Postgraduate Diploma in Applied
Accounting Sciences (98255) register for AIN3701.
 
Students who have not registered or passed MNB1601 will be required to register for IOP1501 from the
2023 academic year onwards.
Students who have already passed MNB1601 before 2023 will retain credit for this module.
 
Students are encouraged to follow the recommendations of how to register the modules together as
this will improve the integration of their studies.  This qualification will be presented online.
Candidates should note that during the course of their studies they would be required to have access
to a computer with a webcam, and the internet
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Accounting-Sciences-in-Financial-Accounting-(Revised-Curriculum-2020)-(98302-–-FA1)
Bachelor of Accounting Sciences in Internal Auditing Internal Auditing (98303 - AUI),Internal Auditing,360,,101111,,98303 - AUI,7,"
Rules:
Students who have already passed AUE1601 in this qualification will retain the credit and will not
be required to complete BNU1501. Candidates should note that during the course of their studies they
would be required to have access to a computer with a webcam, and the internet. This qualification
will be presented online.
 
Students who have not registered or passed MNB1601 will be required to register for IOP1501 from the
2023 academic year onwards.
Students who have already passed MNB1601 before 2023 will be retain credit for this module.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Accounting-Sciences-in-Internal-Auditing-Internal-Auditing-(98303-–-AUI)
Bachelor of Accounting Sciences in Management Accounting (Revised Curriculum 2020) (98304 - MA1),(Revised Curriculum 2020),360,,101112,,98304 - MA1,7,"
Rules:
This degree is intended for the candidate who wishes to pursue a career as a management accountant
and who wishes to be able to register with the Chartered Institute of Management Accountants (CIMA).
This degree is endorsed by CIMA. A candidate who successfully completes this degree will receive
exemption from CIMA's Certificate in Business Accounting (four papers) and three papers on the
operational level, and will be allowed direct access to CIMA's operational case study. In addition,
candidates who successfully complete the operational case study will graduate with a Diploma in
Management Accounting from CIMA and gain admission to CIMA's management level objective tests.
 
YEAR I: Students who have already passed AUE1601in this qualification will retain the credit and
will not be required to complete BNU1501. Students who have not registered or passed MNB1601will be
required to register for IOP1501 from the 2023 academic year and onwards. Students who have already
passed MNB1601 before 2023 will retain credir for the module
 
YEAR II  There are no changes for this level.
 
YEAR III: The College has removed FAC3761 and FAC3762 from the curriculum and replaced them with
FAC3764.
Students who have not registered or passed BOTH FAC3761 and FAC3762 must register for FAC3764,
CAS3701, and AIN3701 from 2023.
 
Where students have already passed and obtained credits for either FAC3761 or FAC3762 in 2022, the
students must register for FAC3764 in 2023 and need not register for CAS3701 and AIN3701.
 
Students should note that during the course of their studies they would be required to have access
to a computer with a webcam, and the internet.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",APS/AS:,,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Accounting-Sciences-in-Management-Accounting-(Revised-Curriculum-2020)-(98304-–-MA1)
Bachelor of Administration (98315 - BAD),98315,5553,,21,,7,360,"Purpose statement:The primary purpose of the qualification is to provide BAdmin graduates with the knowledge, specific skills, applied competence and the necessary attitudes in the fields of development and public administration to make them lifelong learners, employable workers/entrepreneurs and contributors to development and public administration in various public and civic contexts. 

A second purpose of the qualification is to provide South Africa (and other countries) with graduates in development and public administration to widen the leadership base of innovative and knowledge-based economic and scholarly activity. 

A further purpose of the qualification is to provide South Africa (and other countries) with people who can understand the constructive role they need to play as change agents in the field of development and public administration.","
Rules:
Electives may be chosen from the following disciplines: Level 1: Accounting, Business Management,
Marketing Management, Human Resource Management, Economics, Industrial and Organisational
Psychology, Quantitative Management, Transport Economics, Commercial Law, Information Systems,
Labour Law, Statistics, Administrative Law, Fundamental Rights, African Politics, Interpretation of
Statutes, Anthropology, Introduction for the Theory of Law, Constitutional Law and  Politics. Please
take note of any pre/co-requisites. Level 2:  Accounting, Business Management, Marketing Management,
Human Resource Management, Economics, Industrial and Organisational  Psychology, Quantitative
Management, Transport Economics, Commercial Law, Information Systems, Labour Law, Statistics Level
3: Accounting, Business Management, Marketing Management, Human  Resource Management, Economics,
Industrial and Organisational  Psychology, Quantitative Management, Transport Economics, Business
Ethics (PLS3701). Please take note of the pre/co-requisites. The College has replaced MNI3701 with
MNB3701, replaced PUB303G with PUB3703 or PUB3705, replaced PUB302F with PUB3702 or PUB3704,
replaced DVA1601 with DVA1502, replaced MNM2601 with MNM1601, replaced MNM2603 with MNM1501,
replaced MNM2608 with MNM2614, replaced MNM2609 with MNM2604, replaced MNM2602 with MNM2615 and
replaced RSK3701 with ISR3701. Module ILW1501 has been included as a compulsory module in the 1st
year and the number of electives has been reduced to three. ECS2607 has been removed from the
curriculum. Students who have already passed the modules that have been replaced (in this
qualification) will retain the credits and will not be required to complete the replacement modules.
 
Some of the pre-requisites and/ or co-requisites outlined in this qualification may not apply as
they do not form part of the curriculum.
",,https://www.unisa.ac.za/sites/corporate/default/Apply-for-admission/Undergraduate-qualifications/Qualifications/All-qualifications/Bachelor-of-Administration-(98315-–-BAD)
